,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
K_A_ALK,0.4846,0.1199,0.2622,0.7199,0.0024,0.0037,2564.0379,716.2494,1.003
K_A_NH4,2.2444,0.2165,1.847,2.6532,0.0042,0.0046,2719.2943,1173.6998,1.0013
K_A_O2,0.3631,0.1012,0.1728,0.5498,0.0023,0.0023,1957.2928,1146.0129,1.0013
K_NOX,0.4314,0.0788,0.2893,0.5768,0.0014,0.0018,3050.7087,1553.4908,0.9993
K_S,2.7396,1.8752,0.0019,6.1321,0.0429,0.0325,1313.848,996.8782,1.0002
K_X,0.637,0.2321,0.1927,1.0435,0.0066,0.0074,1180.5967,448.5017,1.0043
Y_A,0.338,0.0253,0.2862,0.3829,0.0005,0.0006,2666.8996,1584.3693,1.0005
Y_H_NOX,0.682,0.081,0.5286,0.8363,0.0017,0.0018,2290.5142,1310.5901,1.0022
Y_H_O2,0.662,0.0388,0.5883,0.7321,0.0011,0.0008,1324.0279,1348.1298,0.9999
Y_STO_NOX,0.8732,0.1196,0.6573,1.0971,0.003,0.003,1703.2844,1025.1611,1.0057
Y_STO_O2,0.9331,0.0418,0.8574,1.012,0.0011,0.0008,1442.9499,1521.8069,0.9989
b_H_O2,0.2486,0.0305,0.1956,0.3105,0.0008,0.0006,1566.8626,1472.8377,1.0005
b_STO_O2,0.1688,0.0606,0.0479,0.2795,0.0015,0.0017,1646.0027,828.0235,1.0008
eta_NOX,0.5159,0.1347,0.2748,0.7702,0.003,0.0027,1828.2828,1383.5219,1.0019
k_H,11.0973,2.4728,6.6508,15.7062,0.0516,0.0545,2199.9665,1208.461,1.0007
k_STO,9.9808,2.0561,6.1194,13.7363,0.0382,0.0522,2892.0464,1191.4134,1.0004
mu_A,1.6333,0.0905,1.4586,1.7957,0.002,0.0019,1978.0069,1473.8254,0.9989
mu_H,5.8989,0.4738,4.9824,6.7535,0.01,0.0095,2227.2333,1676.2539,1.0002
sigma_Alkalinity,1.6101,0.0297,1.5511,1.6623,0.0005,0.0008,3889.7818,1229.6604,1.0039
sigma_COD,13.9552,0.2331,13.5264,14.3833,0.004,0.0055,3374.1523,1509.4846,1.0027
sigma_NH4,1.3172,0.0256,1.2721,1.368,0.0004,0.0007,3922.8754,1457.3244,1.0031
sigma_NOx,4.6435,0.0874,4.4758,4.8057,0.0015,0.0022,3295.5796,1541.2854,1.0048
sigma_TKN,3.0797,0.0581,2.9786,3.1911,0.001,0.0015,3454.9551,1562.2111,1.0052
sigma_TSS,14.0336,0.2299,13.5644,14.4435,0.0034,0.0059,4625.5588,1283.603,1.0088
